City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
212,Sur,OM,67.5,clear sky,22.5667,59.5289,Sur Plaza Hotel
214,Nelson Bay,AU,75.96,few clouds,-32.7167,152.15,Mantra Nelson Bay
217,Broken Hill,AU,72.82,clear sky,-31.95,141.4333,Royal Exchange Hotel
218,La Asuncion,VE,78.53,clear sky,11.0333,-63.8628,Colinas de Matasiete
219,Aracati,BR,78.75,heavy intensity rain,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
220,Arrecife,ES,67.98,clear sky,28.963,-13.5477,Hotel Lancelot
223,Umred,IN,64.69,clear sky,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
224,Itacarambi,BR,73.62,overcast clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
225,Caravelas,BR,76.33,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
227,Boende,CD,67.19,overcast clouds,-0.2167,20.8667,
229,Lashio,MM,64.26,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
230,Kavaratti,IN,79.2,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
238,Keti Bandar,PK,69.01,clear sky,24.1447,67.4497,Haji laloo memon house
243,Masuguru,TZ,71.83,overcast clouds,-11.3667,38.4167,
244,Nouadhibou,MR,69.78,dust,20.931,-17.0347,El Medina
246,Ippy,CF,73.18,overcast clouds,6.2679,21.2247,
253,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
255,Kankon,IN,72.75,scattered clouds,15.0167,74.0167,Palolem Beach Resort
258,Cockburn Town,TC,75.78,clear sky,21.4612,-71.1419,Osprey Beach Hotel
262,Malakal,SS,74.41,few clouds,9.5334,31.6605,Nile Palace Hotel
264,Marsh Harbour,BS,73.04,clear sky,26.5412,-77.0636,Abaco Beach Resort
269,Bosaso,SO,70.14,clear sky,11.2842,49.1816,Red Sea Hotel
270,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
272,Betioky,MG,71.47,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
273,Ulladulla,AU,71.1,broken clouds,-35.35,150.4667,Sandpiper Motel
276,Vila Velha,BR,75.15,light rain,-20.3297,-40.2925,Hotel Vitória Palace
278,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
279,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
280,Palasa,IN,74.48,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
282,Los Llanos De Aridane,ES,61.12,clear sky,28.6585,-17.9182,Valle Aridane
287,Marsabit,KE,70.47,overcast clouds,2.3284,37.9899,Chicho Hotel
291,Port Macquarie,AU,75.88,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
294,Sawakin,SD,75.72,overcast clouds,19.1059,37.3321,فندق الدويم
296,Port-Gentil,GA,79.63,overcast clouds,-0.7193,8.7815,Fengshui Residence
297,Hobyo,SO,74.66,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
299,Zabid,YE,73.51,clear sky,14.1951,43.3152,مغرب التريبه
