City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Busselton,-33.65,115.3333,79.09,30,97,16.64,AU,2022-01-31 05:09:29
68,Rikitea,-23.1203,-134.9692,77.38,64,100,5.79,PF,2022-01-31 05:09:12
69,Meulaboh,4.1363,96.1285,86.23,63,70,3.36,ID,2022-01-31 05:11:30
70,Belaya Gora,68.5333,146.4167,-21.33,98,99,1.68,RU,2022-01-31 05:11:30
71,Warrnambool,-38.3833,142.4833,85.8,73,22,11.43,AU,2022-01-31 05:04:26
72,Puerto Ayora,-0.7393,-90.3518,73.04,84,100,5.59,EC,2022-01-31 05:11:31
73,Ridgecrest,35.6225,-117.6709,53.42,24,0,1.01,US,2022-01-31 05:11:00
74,Santa Maria,-29.6842,-53.8069,67.23,83,15,3.51,BR,2022-01-31 05:08:05
75,Kaitangata,-46.2817,169.8464,63.61,77,81,4.32,NZ,2022-01-31 05:11:31
76,Port Elizabeth,-33.918,25.5701,69.1,94,40,5.75,ZA,2022-01-31 05:06:46
77,Plonsk,52.6235,20.3755,35.87,78,82,15.28,PL,2022-01-31 05:11:32
78,Ulaangom,49.9811,92.0667,-18.58,96,95,2.71,MN,2022-01-31 05:11:32
79,Kasongo-Lunda,-6.4667,16.8167,68.11,98,100,0.92,CD,2022-01-31 05:11:33
80,Northam,51.0333,-4.2167,46.02,77,78,25.77,GB,2022-01-31 05:06:58
81,La Palma,33.8464,-118.0467,59.94,79,0,1.01,US,2022-01-31 05:11:33
82,Aksehir,38.3575,31.4164,31.5,97,100,3.56,TR,2022-01-31 05:11:33
83,Inhambane,-23.865,35.3833,77.95,70,35,5.88,MZ,2022-01-31 05:08:04
84,Tasiilaq,65.6145,-37.6368,4.23,60,100,6.15,GL,2022-01-31 05:11:34
85,Pevek,69.7008,170.3133,-18.56,99,94,2.71,RU,2022-01-31 05:11:34
86,Harper,4.375,-7.7169,77.43,86,38,1.99,LR,2022-01-31 05:11:35
87,Kemijarvi,66.7131,27.4306,-2.43,99,74,3.02,FI,2022-01-31 05:11:35
88,Leningradskiy,69.3833,178.4167,-15.25,93,89,4.88,RU,2022-01-31 05:12:35
89,Sao Felix Do Xingu,-6.6447,-51.995,69.15,97,100,0.29,BR,2022-01-31 05:12:36
90,Airai,-8.9266,125.4092,70.74,67,92,7.83,TL,2022-01-31 05:05:38
91,Fortuna,40.5982,-124.1573,50.67,93,100,1.01,US,2022-01-31 05:08:11
92,Moranbah,-22.0016,148.0466,88.72,45,86,12.24,AU,2022-01-31 05:11:07
93,Kodiak,57.79,-152.4072,18.91,86,0,8.05,US,2022-01-31 05:12:36
