City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description,Country,Date
60,New Norfolk,-42.7826,147.0587,71.65,34,3,4.0,clear sky,AU,2022-02-04 03:12:49
61,Kalmunai,7.4167,81.8167,77.11,76,6,3.31,clear sky,LK,2022-02-04 03:14:56
62,Tasiilaq,65.6145,-37.6368,12.36,60,85,6.13,overcast clouds,GL,2022-02-04 03:14:57
63,Upernavik,72.7868,-56.1549,4.57,67,100,6.62,overcast clouds,GL,2022-02-04 03:14:57
64,Hithadhoo,-0.6,73.0833,81.64,74,100,10.09,overcast clouds,MV,2022-02-04 03:14:57
65,Merauke,-8.4667,140.3333,85.24,71,100,11.54,overcast clouds,ID,2022-02-04 03:14:58
66,Yangambi,0.8102,24.4336,68.76,91,99,2.48,overcast clouds,CD,2022-02-04 03:14:58
67,Bukachacha,52.9833,116.9167,-0.76,72,14,3.65,few clouds,RU,2022-02-04 03:14:59
68,Port Lincoln,-34.7333,135.8667,67.89,57,32,14.76,scattered clouds,AU,2022-02-04 03:14:59
69,Sitka,57.0531,-135.33,46.29,81,100,24.16,moderate rain,US,2022-02-04 03:14:59
70,Winnemucca,40.973,-117.7357,33.85,51,0,12.66,clear sky,US,2022-02-04 03:15:00
71,Vao,-22.6667,167.4833,75.15,92,100,5.59,light rain,NC,2022-02-04 03:15:00
72,Port Alfred,-33.5906,26.891,69.89,74,97,15.95,overcast clouds,ZA,2022-02-04 03:12:52
73,Vestmannaeyjar,63.4427,-20.2734,27.77,68,27,34.09,scattered clouds,IS,2022-02-04 03:12:10
74,Grand Gaube,-20.0064,57.6608,80.38,84,100,11.99,overcast clouds,MU,2022-02-04 03:11:19
75,Pevek,69.7008,170.3133,-19.21,100,25,3.58,scattered clouds,RU,2022-02-04 03:15:01
76,Hobart,-42.8794,147.3294,72.01,47,11,1.99,few clouds,AU,2022-02-04 03:08:36
77,Kodinsk,58.6881,99.1844,10.24,95,100,4.88,light snow,RU,2022-02-04 03:15:01
78,Puerto Ayora,-0.7393,-90.3518,75.54,93,7,3.0,clear sky,EC,2022-02-04 03:12:56
79,Bredasdorp,-34.5322,20.0403,58.32,77,100,3.44,overcast clouds,ZA,2022-02-04 03:15:01
80,Gizo,-8.103,156.8419,81.79,77,100,11.23,overcast clouds,SB,2022-02-04 03:15:02
81,Hermanus,-34.4187,19.2345,60.91,72,100,9.33,overcast clouds,ZA,2022-02-04 03:15:02
82,Manokwari,-0.8667,134.0833,81.25,76,97,4.52,light rain,ID,2022-02-04 03:15:03
83,Coquimbo,-29.9533,-71.3436,64.13,82,20,3.44,few clouds,CL,2022-02-04 03:13:16
